meals,junk_freq,fruits,vegetables,fried,water,BMI,sleep,exercise,calories,Diet_Label
4,1,2,3,1,4.669668889112175,24.367182020405163,8.75357153204958,5.123957592679836,2576.9145136531843,2
2,2,4,4,0,6.198051453057903,18.958996843460703,7.609993861334123,6.569868963110251,1201.791161434333,2
3,2,4,4,1,9.865847086454306,25.34306531691597,5.456145700990209,4.282970263056656,1520.8358794996961,2
1,1,1,1,0,3.847150604977192,29.565228155992255,6.252496259847715,0.0928547281190657,3367.0640380751615,0
4,0,3,1,2,8.04289128254122,22.0974329224422,7.416317594127291,4.269976604478346,3116.348296993178,2
2,0,2,4,3,4.602642646106115,27.650905572939855,4.156566462277793,5.89599342216499,2234.434506750461,2
1,3,4,4,2,4.370188045632659,24.607513924721193,5.356745158869479,5.801162564063505,2020.5326513952555,2
2,4,2,0,3,4.867725828354181,22.989298970206647,4.070399113575422,1.3918968286216362,2836.0864913218948,0
3,1,4,3,2,5.777719401295594,19.969774011927207,8.315517129377968,4.363086887792905,1961.065457161093,2
1,2,1,2,0,3.6137536186831696,30.933345826487255,6.806385987847481,5.396770259681927,2335.7298716380988,1
4,4,4,4,2,9.542828564463848,33.22798112644983,6.376851115910559,3.942929003834686,2799.6869987800933,2
4,3,3,3,3,9.140471987919822,32.96795326325938,7.121770240668966,2.0694358008639977,1442.6367976096224,1
2,1,1,1,0,2.0041630159625266,27.168818112566065,8.037200775820313,6.2726390994644525,1931.4079924352868,1
4,0,1,3,2,4.909036819034352,20.79914950343001,6.67044709687721,3.3938097995128826,2792.6028756476217,2
3,0,0,4,0,6.876514671839175,34.52029540625633,8.812236474710556,1.762476070777549,2343.6715635524865,1
4,2,3,1,3,3.9011003519391974,22.736989892022393,8.541329429833269,1.676933234668807,1533.258205809813,1
3,2,3,1,0,3.492148083198834,30.379677926401612,5.838915663596266,4.4261408141550564,2657.118334750058,1
4,2,3,0,1,3.100167553167946,29.5185941513188,4.082939144639281,3.5846514080949667,1720.9402829552573,0
4,0,3,4,1,6.237204626848052,23.798127967854395,4.567367606202946,6.472855327949939,3217.880512776256,2
4,2,3,3,1,5.236065016977521,33.252667885206556,8.502090285816653,4.4317102009128755,1979.7685194120115,1
1,1,4,3,0,2.0404926707697495,33.09209167893631,8.254642243837564,6.549444959546633,3006.28349756207,2
1,2,0,4,3,4.464486334819114,29.762218360775783,7.259806297513003,1.5698851662239184,2838.0122090993327,0
2,1,4,3,1,4.8006272615574055,27.22318391943329,6.5440703841938,4.454328327301267,1776.0621827928435,2
2,3,0,0,3,9.631428616020699,32.69084860622235,5.150926341207777,3.4943536591932665,2515.609658181121,0
1,3,0,4,2,2.6027700480490257,33.55269463374762,5.850793501277222,0.108196315702072,3335.1326939517685,0
3,1,1,2,1,6.146637218909894,22.564072567132666,6.426399371381578,2.608808069658345,2107.790373661786,1
2,1,4,2,0,8.93657854864083,32.915342222775244,7.703843088771022,4.879110186966876,2815.713393170351,2
2,0,4,3,2,5.507792984144696,26.525777009682393,7.991475894833876,4.549747515444356,2814.523817692718,2
2,3,1,1,0,8.580804485277266,29.42444430001839,5.640763337373659,1.0852913170942093,3458.2340431142215,0
3,2,3,4,3,3.106824739342411,26.878135420931674,7.849967765493054,1.5107471924779023,2632.6480943837005,1
1,0,3,4,0,3.4746693946509604,20.256672178130486,8.847684335570795,5.002165729259665,1294.4552885661144,2
4,0,1,4,4,6.133570059412533,29.70449831301123,4.290967977542218,6.406496093385363,2217.4101283815403,1
